LPAR6,PDXDC1
NDUFB3,NDUFA9
INS,RPL36A
FABP1,PPARG
KRT16,RLF
RBMS1,RPS19
CDC5L,SMARCE1
RAD21,KIAA1797
RANBP3,TTN
SSR4,TSC22D1
SMC1A,DHX38
CASR,FFAR3
CORO1C,ATR
DYT10,STXBP1
ESR1,MED12
PRKAB2,PMM2
USP2,RBCK1
PML,RUNX2
PLD2,PRKCD
UBC,SF3B4
HNF1A,ADH4
FLNC,KCND2
PSMB9,USP15
ELF3,DDX3X
ESR1,GSN
MAGEA11,ARHGAP29
BCAP31,SERPINF2
VHL,PARP1
RAD21,LRPPRC
EGFR,OAZ1
SHANK1,GRIA1
PDHX,EP300
UBE2J1,BRCA1
SELS,VCP
CDC73,HAP1
CUL3,PDCD11
FBN1,MFAP1
HNF4A,LIN7C
TAF1,SCO1
CUL4B,CDT1
PCBD1,ZNF23
NFKB2,TRIM3
CEBPE,RB1
MYH11,MYLK
INPPL1,OCRL
TAF4B,ERCC3
INSR,ATP6V0E2
TRIM2,PDHA1
FAS,CHD1L
PTPN11,SELE
UCHL1,UBB
EP300,NPR2
PSMA3,LDHA
MYLK,OR6C2
SMC1A,SF3B4
VCP,UBXN2A
TAF1,GRN
ONECUT1,PACS1
APC,PXN
HDAC4,RUNX2
HNF4A,SEC11C
FUS,HNRNPA2B1
PYCRL,PCYT1A
ADCY6,AVPR2
PGM1,GNA11
EFTUD2,HNRNPU
PSMB8,PSMA4
KPNA3,ASL
BDKRB2,PLCB1
POMC,GNAS
DNM2,PFN1
CBS,CARS
INSR,ATP6V1B1
ASPM,NAP1L4;NAP1L4b
WDR77,SF3B4
TSHR,CAMK2D
SMAD3,CITED2
RPL23,ATP6V1B2
SET,FAM111B
CD3D,ITK
MSH2,CUL2
EGFR,PTGDS
CHN1,FGD1
ATF2,PMS2
C14orf104,EPB41L1
CUL3,TUBA3D
SOD1,LDHB
KRAS,RIT1
CRB1,ITGB5
HSP90AA1,LRRK2
CD80,ITGB2
PTPN11,THEM4
TGFBR2,SMAD2
ATP7A,PMPCA
ERCC3,STIP1
EDA,MLLT3
MLN,TRIO
HRSP12,DEAF1
PAFAH1B1,PCM1
APOE,HSF1
ING1,SMARCB1
TRIM10,TBK1
SMAD4,RAB38
ATP6V1B1,MYOF
BBS5,BBS9
CREBBP,BCL3
KCND3,KCNAB1
C3AR1,C3
CTNNB1,POLR2E
SV2C,PCSK9
SCAP,STAT3
TUBGCP4,TUBA1A
PTHLH,PTH2R
SOX10,PRRX2
CFTR,ERLIN1
NOL3,FAS
C17orf75,WDR11
NLRP3,PVRL3
THUMPD2,TRMT1
GNRHR,GRPR
PMCH,TRIO
COL3A1,MMP13
CASP8,SQSTM1
TBK1,MBP
HNF4A,FTL
EDNRA,TRHR
EIF3I,MSH6
DNASE1,JUN
NFKB2,PSMC1
MAPK3,SRC
DHX9,FUS
SLC9A3R2,SLC22A5
HNF4A,DPM2
CASR,RNF19A
CUL5,FUS
MYC,CBS
AP1S2,CNO
MIR195,MECP2
NFATC2,TUBA1A
ZMPSTE24,ARPC1A
NOB1,PRNP
TCF12,TBP
JUN,EP300
SMURF1,RIT1
MLC1,SNTA1
MRE11A,TP53
ELL3,ADD3
CLTC,SEC16A
HNF4A,GSK3B
NFKBIA,UBC
MIR20A,BMPR2
SNAP29,NDEL1
PLCB2,OCRL
ABCF2,DDX3X
CREBBP,CDKN1A
MYC,PSMB4
GRIN2D,GRIA3
HNF4A,NCBP2
GNB1,PPAN-P2RY11
APC,GOLGA2
GRIN2B,MYH9
ZMPSTE24,MRPL40
PTH1R,ALG10
CUL3,SND1
SMAD2,UHMK1
RPS26,DNAJC3
MRPL4,PRPF4
TUBB2C,PHGDH
CTNNB1,HNRNPM
BMPR1B,DCAF7
PPIF,VPS13A
BMPR2,TUBB
RASGRP4,HRAS
CEP68,PCNT
MIR34B,HNF4A
ATM,CD99L2
SORBS3,TTN
SF3B4,SRSF4
HEXA,UBR7
SMN1,TIMM50
CDKN2A,AHNAK
CCK,EDNRA
KAT2B,VHL
RBM28,RPF2
INSL3,PLCB1
HSPA5,IKBKG
ASNS,SRR
ZEB2,SMAD5
AGTR2,CASR
GALNT5,EXT2
OPRL1,PLCB1
COG6,EXOC3
SRP72,NSUN2
ANXA1,MTNR1B
IKBKG,ROS1
APP,CRYAB
ELN,FBN2
DLK1,ATP1A3
COL1A1,ITGB1
DIAPH1,MAPRE1
KCNJ1,SLC9A3R2
HDAC8,KIF2B
MAGI2,GRIN2A
SMC3,SMARCA4
CUL4B,COPS8
SNCA,NOS1AP
SDHB,CDA
APOC3,QDPR
ERGIC3,SLC26A2
SNAP29,C1orf190
NVL,RPL10
GJC2,SETX
ADRB1,POMC
AP2S1,RPS6KA4
PCNT,DCTN1
RUNX1,IGHG1
MYO5C,MYO5B
SEC14L5,SDHB
CDK3,ATP6V1B2
IAPP,LHCGR
SLC12A1,OXSR1
DGKG,TTR
POMC,FSHB
AK3,IBA57
SSR4,RPL13
CWC15,SF3B4
ADCY5,RGS2
HNRPDL,PDHA1
HOXA9,GABRG2
MLH1,EXO1
USF1,EP300
MTHFD1,AP1G1
TREM2,VAV3
PPP2CB,SRC
POT1,AIPL1
OR8D2,KCNMA1
CUL3,SRP14
HNF4A,CTDSPL2
POLR1A,MDH2
NAA15,SKIV2L2
GSS,GINS3
METTL1,UBE3A
VCP,ARF6
CASR,LTB4R2
FFAR3,TAC3
RRM2B,RRM2B
SMAD2,HNF4A
SLC1A5,F7
HNF4A,CDKN2AIPNL
GNB1,OR2T6
HLA-DRA,STAT1
